,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,17997,15086579,1015187179540,68840,68590,66930,-1910,-2.77,67290,-1550,-2.25,66760,68590,1400-9-28,2021-12-19
1,فرابورس,فرابورس ايران,15494,105633398,1894803579991,17149,18000,18006,857,5,17938,789,4.6,17540,18006,1400-9-28,2021-12-19
2,كالا,بورس كالاي ايران,14479,42399132,1370342066360,32090,33690,31370,-720,-2.24,32320,230,0.72,30590,33690,1400-9-28,2021-12-19
3,خودرو,ايران‌ خودرو,11188,438255155,822100160745,1953,1965,1856,-97,-4.97,1876,-77,-3.94,1856,1970,1400-9-28,2021-12-19
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10667,5792181,610039606780,108070,107960,104580,-3490,-3.23,105320,-2750,-2.54,103800,107960,1400-9-28,2021-12-19
5,خساپا,سايپا,10198,458083720,711086738760,1603,1625,1523,-80,-4.99,1552,-51,-3.18,1523,1628,1400-9-28,2021-12-19
6,بيمه پرديس,بيمه پرديس50% تاديه,9387,825000000,412500000000,1000,500,500,-500,-50,500,-500,-50,500,500,1400-9-28,2021-12-19
7,انرژي3,سايراشخاص بورس انرژي,9356,6730332,660201889290,100820,102580,97000,-3820,-3.79,98090,-2730,-2.71,95780,102580,1400-9-28,2021-12-19
8,شستا,سرمايه گذاري تامين اجتماعي,8623,33994036,334692436870,10120,10100,9760,-360,-3.56,9850,-270,-2.67,9730,10120,1400-9-28,2021-12-19
9,بورس,بورس اوراق بهادار تهران,7584,55608294,610078196790,10960,11300,10910,-50,-0.46,10970,10,0.09,10490,11490,1400-9-28,2021-12-19
10,توسن,توسعه سامانه ي نرم افزاري نگين,7303,11932345,206258512620,17191,17100,17532,341,1.98,17286,95,0.55,16350,17800,1400-9-28,2021-12-19
11,فولاد,فولاد مباركه اصفهان,6730,43384852,420690620270,9950,9910,9680,-270,-2.71,9700,-250,-2.51,9590,9990,1400-9-28,2021-12-19
12,بركت,گروه دارويي بركت,5793,19733363,335065799350,17720,17500,16840,-880,-4.97,16980,-740,-4.18,16840,17550,1400-9-28,2021-12-19
13,شبندر,پالايش نفت بندرعباس,5647,73944136,440730522080,6130,6100,5920,-210,-3.43,5960,-170,-2.77,5880,6130,1400-9-28,2021-12-19
14,كدما,معدني‌ دماوند,5643,7621801,454633872140,56880,59180,59720,2840,4.99,59650,2770,4.87,58200,59720,1400-9-28,2021-12-19
15,شپنا,پالايش نفت اصفهان,5260,45009984,244022921370,5650,5650,5400,-250,-4.42,5420,-230,-4.07,5370,5670,1400-9-28,2021-12-19
16,مثقال,صندوق س.پشتوانه طلاي زرين آگاه,5057,44188126,441881260000,10000,10000,10000,0,0,10000,0,0,10000,10000,1400-9-28,2021-12-19
17,كمند,صندوق س. با درآمد ثابت كمند,4996,197640524,1990507004095,10067,10071,10072,5,0.05,10071,4,0.04,10071,10073,1400-9-28,2021-12-19
18,فسبزوار,پارس فولاد سبزوار,4980,6756370,225631038790,33610,33610,33110,-500,-1.49,33400,-210,-0.62,33080,33650,1400-9-28,2021-12-19
19,شگويا,پتروشيمي تندگويان,4886,18946157,212531732997,10957,11000,11375,418,3.81,11218,261,2.38,10915,11469,1400-9-28,2021-12-19
20,ضخود1052,اختيارخ خودرو-2000-1400/10/08,4721,233145,8389737000,63,60,36,-27,-42.86,36,-27,-42.86,29,60,1400-9-28,2021-12-19
21,كرمان,س. توسعه و عمران استان كرمان,4432,141572707,123250545791,901,900,867,-34,-3.77,871,-30,-3.33,860,900,1400-9-28,2021-12-19
22,فجهان,مجتمع جهان فولاد سيرجان,4318,20609891,109048466085,5331,5300,5300,-31,-0.58,5291,-40,-0.75,5201,5350,1400-9-28,2021-12-19
23,فملي,ملي‌ صنايع‌ مس‌ ايران‌,4230,32898343,202785665800,6310,6340,6150,-160,-2.54,6160,-150,-2.38,6110,6350,1400-9-28,2021-12-19
24,خپارس,پارس‌ خودرو,4186,172154032,170103535611,1028,1036,977,-51,-4.96,988,-40,-3.89,977,1036,1400-9-28,2021-12-19
25,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,3971,125056364,268779622927,2239,2247,2128,-111,-4.96,2149,-90,-4.02,2128,2249,1400-9-28,2021-12-19
26,سمگا,گروه سرمايه گذاري ميراث فرهنگي,3531,36414684,408243726066,11221,11485,10780,-441,-3.93,11211,-10,-0.09,10750,11670,1400-9-28,2021-12-19
27,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3515,69103424,154320980383,2323,2310,2214,-109,-4.69,2233,-90,-3.87,2207,2340,1400-9-28,2021-12-19
28,خبهمن,گروه‌بهمن‌,3484,118765081,215539329091,1871,1898,1825,-46,-2.46,1815,-56,-2.99,1778,1910,1400-9-28,2021-12-19
29,مديريت,س. و خدمات مديريت صند. ب كشوري,3431,8939202,81206827676,9289,9286,8967,-322,-3.47,9084,-205,-2.21,8951,9288,1400-9-28,2021-12-19
30,نوري,پتروشيمي نوري,3304,2053661,216302978810,107780,109000,104300,-3480,-3.23,105330,-2450,-2.27,103800,109180,1400-9-28,2021-12-19
31,كيمياتك,آريان كيميا تك,3253,811324,19727304160,24430,24500,23910,-520,-2.13,24310,-120,-0.49,23910,24520,1400-9-28,2021-12-19
32,شفن,پتروشيمي فناوران,3219,11457283,152482940250,13850,13740,13190,-660,-4.77,13310,-540,-3.9,13160,13990,1400-9-28,2021-12-19
33,كيان,صندوق س. با درآمد ثابت كيان,3087,39497934,1269490273075,32125,32141,32142,17,0.05,32141,16,0.05,32139,32143,1400-9-28,2021-12-19
34,لپارس,پارس‌ الكتريك‌,2979,2134780,181285499520,84800,86500,87200,2400,2.83,84920,120,0.14,80610,88000,1400-9-28,2021-12-19
35,شپديس,پتروشيمي پرديس,2962,2068708,381864682210,183650,186540,181000,-2650,-1.44,184590,940,0.51,180900,192500,1400-9-28,2021-12-19
36,فگستر,گسترش صنايع روي ايرانيان,2897,945852,8447913537,8880,8631,8959,79,0.89,8909,29,0.33,8631,9100,1400-9-28,2021-12-19
37,وخارزم,سرمايه گذاري خوارزمي,2881,39797132,156596023161,4105,4140,3906,-199,-4.85,3935,-170,-4.14,3900,4140,1400-9-28,2021-12-19
38,بكاب,صنايع‌جوشكاب‌يزد,2867,2215020,181222425670,83040,87190,78890,-4150,-5,81820,-1220,-1.47,78890,87190,1400-9-28,2021-12-19
39,شتران,پالايش نفت تهران,2770,25447542,98977524744,3988,4000,3850,-138,-3.46,3905,-83,-2.08,3830,4000,1400-9-28,2021-12-19
40,تپكو,توليدتجهيزات‌سنگين‌هپكو,2617,71783009,224744963502,3044,3060,3135,91,2.99,3131,87,2.86,3060,3135,1400-9-28,2021-12-19
41,وبملت,بانك ملت,2571,67148816,180482197400,2766,2780,2690,-76,-2.75,2688,-78,-2.82,2665,2780,1400-9-28,2021-12-19
42,وتجارت,بانك تجارت,2561,63663873,109237316460,1758,1770,1700,-58,-3.3,1720,-38,-2.16,1690,1779,1400-9-28,2021-12-19
43,سغدير,توسعه سرمايه و صنعت غدير,2454,8307189,120585200806,15008,14783,14650,-358,-2.39,14516,-492,-3.28,14301,14783,1400-9-28,2021-12-19
44,گدنا,تهيه توزيع غذاي دنا آفرين فدك,2450,2053378,22502366415,11131,11399,10850,-281,-2.52,10959,-172,-1.55,10601,11400,1400-9-28,2021-12-19
45,ثاميد,توسعه و عمران اميد,2332,20203127,29575004263,1457,1450,1470,13,0.89,1464,7,0.48,1427,1473,1400-9-28,2021-12-19
46,سپيدار,سپيدار سيستم آسيا,2304,2127880,41531239157,19266,19500,20000,734,3.81,19518,252,1.31,18900,20110,1400-9-28,2021-12-19
47,خمهرح,ح . مهركام‌پارس‌,2304,48984311,29565711677,661,666,595,-66,-9.98,604,-57,-8.62,595,666,1400-9-28,2021-12-19
48,ثبهساز,بهساز كاشانه تهران,2261,27714119,40573055708,1459,1431,1477,18,1.23,1464,5,0.34,1431,1490,1400-9-28,2021-12-19
49,شلرد,كود شيميايي اوره لردگان,2226,22724195,250000830721,10750,11072,10935,185,1.72,11002,252,2.34,10701,11072,1400-9-28,2021-12-19
50,غزر,صنعتي زر ماكارون,2203,3815833,35111554120,9490,9490,9020,-470,-4.95,9200,-290,-3.06,9020,9800,1400-9-28,2021-12-19
51,كاما,باما,2173,15276782,95476228110,6500,6500,6190,-310,-4.77,6250,-250,-3.85,6180,6570,1400-9-28,2021-12-19
52,آپ,آسان پرداخت پرشين,2171,9595082,94530549070,9650,9770,9600,-50,-0.52,9850,200,2.07,9600,10130,1400-9-28,2021-12-19
53,بركتح,ح . گروه دارويي بركت,2131,6859669,89332531710,13850,13530,12760,-1090,-7.87,13020,-830,-5.99,12740,13750,1400-9-28,2021-12-19
54,آريا,پليمر آريا ساسول,2112,989209,103385796964,106112,104591,104100,-2012,-1.9,104514,-1598,-1.51,104000,105977,1400-9-28,2021-12-19
55,خزاميا,زامياد,2103,23661859,159450974130,6600,6910,6610,10,0.15,6740,140,2.12,6510,6910,1400-9-28,2021-12-19
56,امين,تامين سرمايه امين,2080,1253836,15378624540,12240,12270,12260,20,0.16,12250,10,0.08,12250,12280,1400-9-28,2021-12-19
57,وسديد,گروه ‌صنعتي‌سديد,2039,32609732,33964278674,1073,1045,1041,-32,-2.98,1042,-31,-2.89,1041,1067,1400-9-28,2021-12-19
58,قتربت,قند تربت حيدريه,2038,320481,16815923407,53306,51707,51707,-1599,-3,52471,-835,-1.57,51707,54736,1400-9-28,2021-12-19
59,غگيلا,شيرپاستوريزه پگاه گيلان,2033,4944932,64860114162,12566,12620,13194,628,5,13116,550,4.38,12301,13194,1400-9-28,2021-12-19
60,بوعلي,پتروشيمي بوعلي سينا,1953,577674,39768047730,69040,68190,68600,-440,-0.64,68960,-80,-0.12,68190,69440,1400-9-28,2021-12-19
61,آبادا,توليد نيروي برق آبادان,1950,2407091,22662850280,8980,9410,9420,440,4.9,9420,440,4.9,9210,9420,1400-9-28,2021-12-19
62,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,1946,7457782,33249148473,4472,4530,4444,-28,-0.63,4458,-14,-0.31,4410,4546,1400-9-28,2021-12-19
63,وهامون,سرمايه گذاري هامون صبا,1945,6227600,16679975374,2694,2640,2692,-2,-0.07,2678,-16,-0.59,2631,2716,1400-9-28,2021-12-19
64,زاگرس,پتروشيمي زاگرس,1917,774390,176328085259,237567,234100,225690,-11877,-5,227699,-9868,-4.15,225689,237900,1400-9-28,2021-12-19
65,لكما,كارخانجات‌مخابراتي‌ايران‌,1915,67319671,60444995390,874,898,900,26,2.97,898,24,2.75,885,900,1400-9-28,2021-12-19
66,وبصادر,بانك صادرات ايران,1900,59994082,95796840622,1640,1626,1589,-51,-3.11,1603,-37,-2.26,1579,1640,1400-9-28,2021-12-19
67,شاروم,پتروشيمي اروميه,1892,1336189,17024707399,12676,13000,12745,69,0.54,12741,65,0.51,12378,13188,1400-9-28,2021-12-19
68,امين يكم,صندوق درآمد ثابت امين يكم فردا,1844,53261433,540289467215,10140,10145,10143,3,0.03,10144,4,0.04,10138,10149,1400-9-28,2021-12-19
69,سحرخيز,صندوق س. گروه زعفران سحرخيز,1811,3573913,64435244872,18065,17750,17925,-140,-0.77,18029,-36,-0.2,17510,18470,1400-9-28,2021-12-19
70,وسپهر,سرمايه گذاري مالي سپهرصادرات,1806,7829548,55275733972,7039,7040,7060,21,0.3,7053,14,0.2,7040,7085,1400-9-28,2021-12-19
71,ولپارس,ليزينگ پارسيان,1804,8717678,23922168550,2863,2863,2724,-139,-4.86,2744,-119,-4.16,2720,2878,1400-9-28,2021-12-19
72,صبا,سرمايه گذاري صبا تامين,1769,9909981,58156517002,5935,5999,5819,-116,-1.95,5898,-37,-0.62,5780,5999,1400-9-28,2021-12-19
73,رافزا,رايان هم افزا,1766,1716716,97633652744,56843,56200,57984,1141,2.01,56872,29,0.05,54820,59270,1400-9-28,2021-12-19
74,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1751,27963160,1139203519940,40716,40739,40741,25,0.06,40739,23,0.06,40738,40741,1400-9-28,2021-12-19
75,سپيد,سپيد ماكيان,1663,752494,42203902100,57290,57300,56170,-1120,-1.95,56090,-1200,-2.09,55500,57300,1400-9-28,2021-12-19
76,وكبهمن,مديريت سرمايه گذاري كوثربهمن,1652,695968,6326736955,9031,8940,9061,30,0.33,9056,25,0.28,8918,9210,1400-9-28,2021-12-19
77,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,1648,8569368,122188239010,14600,14800,14260,-340,-2.33,14260,-340,-2.33,14060,14800,1400-9-28,2021-12-19
78,ولكار,ليزينگ كارآفرين,1608,2006588,7555038700,3785,3899,3738,-47,-1.24,3774,-11,-0.29,3618,3899,1400-9-28,2021-12-19
79,بمپنا,توليد برق عسلويه  مپنا,1602,40437466,264126034115,6326,6330,6499,173,2.73,6532,206,3.26,6077,6642,1400-9-28,2021-12-19
80,غدام,خوراك‌  دام‌ پارس‌,1602,1094944,105115364350,93710,98390,90800,-2910,-3.11,96000,2290,2.44,90020,98390,1400-9-28,2021-12-19
81,فاذر,صنايع‌ آذرآب‌,1593,71045415,68106796466,1003,1003,953,-50,-4.99,959,-44,-4.39,953,1003,1400-9-28,2021-12-19
82,ديران,ايران‌دارو,1590,4698088,80840781510,16710,17520,16690,-20,-0.12,17210,500,2.99,16610,17540,1400-9-28,2021-12-19
83,افران,صندوق س افرا نماد پايدار-ثابت,1580,49544790,744358007164,15016,15024,15023,7,0.05,15024,8,0.05,15023,15026,1400-9-28,2021-12-19
84,لطيف,محصولات كاغذي لطيف,1524,599707,21601351864,35370,36480,35400,30,0.08,36020,650,1.84,35375,36943,1400-9-28,2021-12-19
85,غكورش,صنعت غذايي كورش,1521,780456,37490637710,48930,49000,47380,-1550,-3.17,48350,-580,-1.19,47320,49000,1400-9-28,2021-12-19
86,بپيوند,برق و انرژي پيوندگستر پارس,1497,998010,9010809388,9088,8873,9000,-88,-0.97,9053,-35,-0.39,8873,9160,1400-9-28,2021-12-19
87,كزغال,زغال سنگ پروده طبس,1473,725240,20691583778,29056,28625,28460,-596,-2.05,28580,-476,-1.64,28226,28996,1400-9-28,2021-12-19
88,شصدف,صنعتي دوده فام,1412,1960134,59650609179,31751,32000,30164,-1587,-5,30432,-1319,-4.15,30164,32130,1400-9-28,2021-12-19
89,وگردش,بانك گردشگري,1397,54926731,607502988500,11357,11390,11017,-340,-2.99,11060,-297,-2.62,11017,11400,1400-9-28,2021-12-19
90,چخزر,صنايع چوب خزر كاسپين,1373,276033,6570838863,24172,24076,23671,-501,-2.07,24009,-163,-0.67,23303,24369,1400-9-28,2021-12-19
91,سيتا,سرمايه گذاري سيمان تامين,1369,2759418,23926115230,8860,8700,8610,-250,-2.82,8740,-120,-1.35,8580,8750,1400-9-28,2021-12-19
92,نهال,صندوق س. طلاي سرخ نوويرا,1361,2191049,40027637788,18307,17900,18211,-96,-0.52,18269,-38,-0.21,17900,18820,1400-9-28,2021-12-19
93,تملتح,ح . تامين سرمايه بانك ملت,1358,8262254,8673808209,1064,1042,1026,-38,-3.57,1050,-14,-1.32,1021,1075,1400-9-28,2021-12-19
94,بگيلان,توسعه مسير برق گيلان,1350,1319852,17629234639,13872,13900,13311,-561,-4.04,13477,-395,-2.85,13252,13910,1400-9-28,2021-12-19
95,شاوان,پالايش نفت لاوان,1341,1255986,150318245558,125088,127560,119000,-6088,-4.87,119681,-5407,-4.32,118834,127560,1400-9-28,2021-12-19
96,ولملت,واسپاري ملت,1307,19708992,64406564323,3387,3330,3218,-169,-4.99,3268,-119,-3.51,3218,3449,1400-9-28,2021-12-19
97,اپال,فرآوري معدني اپال كاني پارس,1293,957821,21724424870,22700,22700,22630,-70,-0.31,22700,0,0,22620,22710,1400-9-28,2021-12-19
98,بترانس,ايران‌ ترانسفو,1282,41265464,77979973146,1877,1784,1886,9,0.48,1890,13,0.69,1784,1921,1400-9-28,2021-12-19
99,سامان,بانك سامان,1275,21588083,143113696464,6800,6774,6728,-72,-1.06,6629,-171,-2.51,6596,6839,1400-9-28,2021-12-19
100,شفنح,ح . پتروشيمي فناوران,1267,5453767,51006025680,9910,9600,9230,-680,-6.86,9350,-560,-5.65,9180,9750,1400-9-28,2021-12-19
101,ختور,رادياتور ايران‌,1236,7546527,83903110820,11630,11760,11050,-580,-4.99,11120,-510,-4.39,11050,11760,1400-9-28,2021-12-19
102,وپارس,بانك‌پارسيان‌,1236,26140517,47838761448,1853,1825,1803,-50,-2.7,1843,-10,-0.54,1800,1870,1400-9-28,2021-12-19
103,زملارد,كشاورزي و دامپروري ملارد شير,1230,189961,3536437815,18891,18490,18719,-172,-0.91,18825,-66,-0.35,18000,19000,1400-9-28,2021-12-19
104,كوير,توليدي فولاد سپيد فراب كوير,1214,12326541,69547622330,5760,5860,5590,-170,-2.95,5640,-120,-2.08,5480,5900,1400-9-28,2021-12-19
105,گشان,توسعه بين المللي پديده شانديز,1207,2887161,53501750615,19077,19100,18505,-572,-3,18531,-546,-2.86,18505,19100,1400-9-28,2021-12-19
106,فتوسا,توليد و توسعه سرب روي ايرانيان,1189,477976,4780152417,10002,9580,9911,-91,-0.91,10002,0,0,9580,10154,1400-9-28,2021-12-19
107,حفاري,حفاري شمال,1160,19867569,67629421477,3551,3541,3387,-164,-4.62,3404,-147,-4.14,3374,3547,1400-9-28,2021-12-19
108,وسكرد,شركت س استان كردستان,1158,78348160,32833976383,428,423,418,-10,-2.34,419,-9,-2.1,415,427,1400-9-28,2021-12-19
109,كتوكا,توليدي و خدمات صنايع نسوز توكا,1115,4774971,50985822792,11082,11628,10528,-554,-5,10678,-404,-3.65,10528,11628,1400-9-28,2021-12-19
110,فجر,فولاد اميركبيركاشان,1114,3081085,63327529550,21480,21690,20490,-990,-4.61,20550,-930,-4.33,20410,21690,1400-9-28,2021-12-19
111,ثفارس,عمران‌وتوسعه‌فارس‌,1078,7448434,53166230800,6950,7180,7260,310,4.46,7140,190,2.73,7040,7290,1400-9-28,2021-12-19
112,فارس,صنايع پتروشيمي خليج فارس,1078,8547815,84367714370,9830,9880,9960,130,1.32,9860,30,0.31,9800,9960,1400-9-28,2021-12-19
113,حكشتي,كشتيراني جمهوري اسلامي ايران,1076,4899376,60698354270,12720,12630,12370,-350,-2.75,12530,-190,-1.49,12190,12640,1400-9-28,2021-12-19
114,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,1071,407204,49838834030,121890,124100,123300,1410,1.16,122390,500,0.41,120010,124990,1400-9-28,2021-12-19
115,غبهنوش,بهنوش‌ ايران‌,1069,1372317,95397545480,71430,68560,67860,-3570,-5,69520,-1910,-2.67,67860,73460,1400-9-28,2021-12-19
116,وفتخار,سرمايه گذاري افتخار سهام,1068,5545665,9841267549,1725,1776,1776,51,2.96,1775,50,2.9,1755,1776,1400-9-28,2021-12-19
117,غگل,گلوكوزان‌,1059,15712599,44322857141,2933,2933,2787,-146,-4.98,2821,-112,-3.82,2787,2950,1400-9-28,2021-12-19
118,شاراك,پتروشيمي شازند,1047,2031911,84868049850,42260,41570,41520,-740,-1.75,41840,-420,-0.99,41000,42250,1400-9-28,2021-12-19
119,فاراك,ماشين‌ سازي‌ اراك‌,1042,26089222,36789844843,1465,1481,1411,-54,-3.69,1410,-55,-3.75,1393,1495,1400-9-28,2021-12-19
120,طلا,صندوق س.پشتوانه طلاي لوتوس,1038,1044388,95060141722,92492,91594,91340,-1152,-1.25,91020,-1472,-1.59,90620,91594,1400-9-28,2021-12-19
121,داسوه,داروسازي‌ اسوه‌,1033,3424935,97557695240,27560,28930,28500,940,3.41,28480,920,3.34,27000,28930,1400-9-28,2021-12-19
122,خصدرا,صنعتي‌ دريايي‌ ايران‌,1028,20268151,40929439787,2063,2070,2002,-61,-2.96,2019,-44,-2.13,2002,2100,1400-9-28,2021-12-19
123,هاي وب,داده گسترعصرنوين-هاي وب,1025,6163406,47570081470,7880,8000,7710,-170,-2.16,7720,-160,-2.03,7620,8000,1400-9-28,2021-12-19
124,فسازان,غلتك سازان سپاهان,1018,13350978,62856174859,4506,4731,4731,225,4.99,4708,202,4.48,4602,4731,1400-9-28,2021-12-19
125,شسپا,نفت سپاهان,1009,17334556,55102598724,3284,3200,3190,-94,-2.86,3203,-81,-2.47,3150,3260,1400-9-28,2021-12-19
126,شيران,س. صنايع‌شيميايي‌ايران,1005,4625946,88302694780,19580,19570,18810,-770,-3.93,19090,-490,-2.5,18750,19570,1400-9-28,2021-12-19
127,چكاپا,گروه صنايع كاغذ پارس,1001,11677780,32622133234,2792,2880,2781,-11,-0.39,2794,2,0.07,2750,2887,1400-9-28,2021-12-19
128,شپاكسا,پاكسان‌,991,4093715,82350484770,19750,19500,20180,430,2.18,20120,370,1.87,18910,20700,1400-9-28,2021-12-19
129,شغدير,پتروشيمي غدير,985,727042,64979622630,91800,90810,88600,-3200,-3.49,89380,-2420,-2.64,88110,92000,1400-9-28,2021-12-19
130,شپترو,پتروشيمي آبادان,981,16876702,45939486065,2676,2677,2756,80,2.99,2722,46,1.72,2625,2756,1400-9-28,2021-12-19
131,شيراز,پتروشيمي‌شيراز,976,682757,49328128370,74620,73170,72480,-2140,-2.87,73410,-1210,-1.62,71000,74620,1400-9-28,2021-12-19
132,شبريز,پالايش نفت تبريز,967,2792328,83753580040,30010,30120,29640,-370,-1.23,30000,-10,-0.03,29630,30800,1400-9-28,2021-12-19
133,فروي,ذوب روي اصفهان,959,2029921,32927219950,16609,17220,15920,-689,-4.15,16221,-388,-2.34,15850,17220,1400-9-28,2021-12-19
134,آگاس,صندوق س.هستي بخش آگاه-س,957,743053,54488333683,74621,74111,72809,-1812,-2.43,73330,-1291,-1.73,72701,74899,1400-9-28,2021-12-19
135,وساغربي,شركت س استان آذربايجان غربي,957,56358311,23269068993,421,417,410,-11,-2.61,414,-7,-1.66,408,421,1400-9-28,2021-12-19
136,ثنوسا,نوسازي‌وساختمان‌تهران‌,949,13689125,62829610019,4419,4595,4639,220,4.98,4590,171,3.87,4290,4639,1400-9-28,2021-12-19
137,فزرين,زرين معدن آسيا,922,3867407,45129033764,11264,11820,11601,337,2.99,11669,405,3.6,11350,11827,1400-9-28,2021-12-19
138,كلر,كلر پارس,919,689956,69714351018,105927,105170,100631,-5296,-5,101042,-4885,-4.61,100631,105548,1400-9-28,2021-12-19
139,كيميا,معدني كيمياي زنجان گستران,907,4745774,58196108592,11780,12299,12230,450,3.82,12263,483,4.1,11900,12369,1400-9-28,2021-12-19
140,تسه0006,امتيازتسهيلات مسكن شهريور1400,891,18504,18378946065,1043115,990960,990960,-52155,-5,993242,-49873,-4.78,990960,1020000,1400-9-28,2021-12-19
141,پيزد,مجتمع صنايع لاستيك يزد,888,182030,9244160469,51608,51608,50352,-1256,-2.43,51094,-514,-1,49700,51700,1400-9-28,2021-12-19
142,شلعاب,لعابيران‌,885,8918100,50492063380,5830,5930,5540,-290,-4.97,5660,-170,-2.92,5540,6050,1400-9-28,2021-12-19
143,پارند,صندوق س. پارند پايدار سپهر,878,25756946,259440482855,10067,10072,10072,5,0.05,10073,6,0.06,10072,10073,1400-9-28,2021-12-19
144,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,876,11801984,40768701049,3538,3680,3362,-176,-4.97,3454,-84,-2.37,3362,3680,1400-9-28,2021-12-19
145,وپويا,سرمايه گذاري پويا,874,1700935,5448123334,3250,3326,3216,-34,-1.05,3233,-17,-0.52,3156,3326,1400-9-28,2021-12-19
146,پارس,پتروشيمي پارس,858,306064,53591492290,180420,177600,174960,-5460,-3.03,177480,-2940,-1.63,172000,179990,1400-9-28,2021-12-19
147,بپاس,بيمه پاسارگاد,853,10266559,436041088424,42472,42472,42473,1,0,42472,0,0,42440,42475,1400-9-28,2021-12-19
148,سرو,صندوق س سروسودمند مدبران-سهام,851,1107538,71740438520,66170,66000,64450,-1720,-2.6,64770,-1400,-2.12,64210,66000,1400-9-28,2021-12-19
149,تسه0007,امتيازتسهيلات مسكن مهر1400,821,23303,23147536391,1045314,993049,993049,-52265,-5,993329,-51985,-4.97,993049,1010000,1400-9-28,2021-12-19
150,خفنر,فنرسازي‌خاور,811,3261276,22715311840,7200,7300,6840,-360,-5,6970,-230,-3.19,6840,7360,1400-9-28,2021-12-19
