Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
91820.0,91820.0,91820.0,93610.0,1400-1-7,خلنت,22203,2021-03-27,,93610.0,
91740.0,91740.0,91740.0,93580.0,1400-1-8,خلنت,9236,2021-03-28,,93592.00000000001,
91710.0,91710.0,91710.0,93500.0,1400-1-10,خلنت,21502,2021-03-30,,93548.42105263157,
91630.0,91630.0,91630.0,93490.0,1400-1-11,خلنت,3888,2021-03-31,,93524.15384615384,
91630.0,91630.0,91630.0,93480.0,1400-1-14,خلنت,2310,2021-04-03,93532.0,93507.20379146919,
91620.0,91620.0,91620.0,93480.0,1400-1-15,خلنت,591,2021-04-04,93506.0,93497.26315789473,
91620.0,91620.0,91620.0,93460.0,1400-1-16,خلنت,5267,2021-04-05,93482.0,93484.06993686255,
91600.0,91600.0,91600.0,93450.0,1400-1-17,خلنت,1742,2021-04-06,93472.0,93472.25218080888,
91590.0,91590.0,91590.0,93450.0,1400-1-18,خلنت,1292,2021-04-07,93464.0,93464.63669083513,
91590.0,91590.0,91590.0,93390.0,1400-1-21,خلنت,15952,2021-04-10,93446.0,93439.31874192158,
60840.0,60840.0,60840.0,62720.0,1400-2-1,خلنت,187,2021-04-21,87294.0,83079.77898217579,
60840.0,60840.0,60840.0,62720.0,1400-2-4,خلنت,714,2021-04-24,81146.0,76240.47308687861,
60840.0,60840.0,60840.0,62720.0,1400-2-6,خلنت,100,2021-04-26,75000.0,71710.37201845246,
60840.0,60840.0,60840.0,62720.0,1400-2-7,خلنت,98,2021-04-27,68854.0,68703.2805918703,
60840.0,60840.0,60840.0,62700.0,1400-2-8,خلنت,9718,2021-04-28,62716.0,66697.60678769604,0.0
60820.0,60820.0,60820.0,62700.0,1400-2-11,خلنت,714,2021-05-01,62712.0,65363.039394563,0.0
60820.0,60820.0,60820.0,62700.0,1400-2-13,خلنت,95,2021-05-03,62708.0,64474.45772220812,0.0
60820.0,60820.0,60820.0,62700.0,1400-2-20,خلنت,100,2021-05-10,62704.0,63882.57132109603,0.0
60820.0,60820.0,66000.0,61450.0,1400-2-22,خلنت,706963,2021-05-12,62450.0,63071.348277035744,0.0
58380.0,58380.0,58380.0,61320.0,1400-2-25,خلنت,10643,2021-05-15,62174.0,62487.38990500521,0.0
58260.0,58260.0,58260.0,61320.0,1400-2-26,خلنت,207,2021-05-16,61898.0,62098.18190600353,0.0
58260.0,58260.0,58260.0,61320.0,1400-2-27,خلنت,226,2021-05-17,61622.0,61838.753262834274,0.0
58260.0,58260.0,58260.0,61320.0,1400-2-28,خلنت,200,2021-05-18,61346.0,61665.82009938331,0.0
58260.0,58260.0,58260.0,61320.0,1400-2-29,خلنت,171,2021-05-19,61320.0,61550.539884909485,0.0
58260.0,58260.0,58260.0,61320.0,1400-3-1,خلنت,257,2021-05-22,61320.0,61473.69021319578,0.0
58260.0,58260.0,58260.0,61320.0,1400-3-2,خلنت,110,2021-05-23,61320.0,61422.45878954826,0.0
58260.0,58260.0,58260.0,61320.0,1400-3-3,خلنت,102,2021-05-24,61320.0,61388.3052585644,0.0
58260.0,58260.0,58260.0,61320.0,1400-3-4,خلنت,321,2021-05-25,61320.0,61365.536571875986,0.0
58260.0,58260.0,58260.0,60110.0,1400-3-8,خلنت,96340,2021-05-29,61078.0,60947.021107353765,0.0
57110.0,57110.0,61950.0,58040.0,1400-3-9,خلنت,842203,2021-05-30,60422.0,59978.00901807902,0.0
55690.0,55140.0,57000.0,56970.0,1400-3-10,خلنت,93353,2021-05-31,59552.0,58975.33585936213,0.0
54130.0,54130.0,56880.0,56180.0,1400-3-11,خلنت,82004,2021-06-01,58524.0,58043.55507987462,0.0
53380.0,53380.0,53380.0,55890.0,1400-3-12,خلنت,25024,2021-06-02,57438.0,57325.70227734734,0.0
53100.0,53100.0,53100.0,55650.0,1400-3-17,خلنت,23147,2021-06-07,56546.0,56767.13427616041,0.0
52870.0,52870.0,57110.0,54130.0,1400-3-18,خلنت,382688,2021-06-08,55764.0,55888.08891374578,0.0
51430.0,51430.0,51430.0,53990.0,1400-3-19,خلنت,13578,2021-06-09,55168.0,55255.392319489416,0.0
51300.0,51300.0,51300.0,53270.0,1400-3-22,خلنت,74156,2021-06-12,54586.0,54593.59467766088,0.0
50610.0,50610.0,50610.0,53190.0,1400-3-23,خلنت,8639,2021-06-13,54046.0,54125.72968990381,0.0
50540.0,50540.0,53850.0,50980.0,1400-3-24,خلنت,454879,2021-06-14,53112.0,53077.1529843562,0.0
48460.0,48440.0,50000.0,49810.0,1400-3-25,خلنت,128765,2021-06-15,52248.0,51988.101891079496,0.0
47320.0,47320.0,47320.0,49760.0,1400-3-26,خلنت,5635,2021-06-16,51402.0,51245.401215940896,0.0
47280.0,47280.0,47280.0,49720.0,1400-3-29,خلنت,5056,2021-06-19,50692.0,50736.934123522995,0.0
47240.0,47240.0,52200.0,51120.0,1400-3-30,خلنت,612131,2021-06-20,50278.0,50864.62275243692,12.863002197444715
49950.0,47340.0,49950.0,47630.0,1400-4-1,خلنت,430856,2021-06-22,49608.0,49786.41514902992,9.561280420533947
47730.0,45250.0,47730.0,45580.0,1400-4-2,خلنت,530770,2021-06-23,48762.0,48384.27674932118,8.225662773383334
46970.0,43400.0,47700.0,46220.0,1400-4-5,خلنت,397346,2021-06-26,48054.0,47662.85116048625,12.34252058558937
47830.0,45060.0,47830.0,46190.0,1400-4-6,خلنت,295035,2021-06-27,47348.0,47171.900771058856,12.314634208799276
46980.0,43910.0,46980.0,45340.0,1400-4-7,خلنت,175831,2021-06-28,46192.0,46561.267178551134,11.52041786973382
44120.0,44120.0,46800.0,45460.0,1400-4-8,خلنت,168387,2021-06-29,45758.0,46194.178118170516,12.379569243397043
46720.0,44510.0,46720.0,45320.0,1400-4-9,خلنت,100224,2021-06-30,45706.0,45902.78541165668,12.23035945304619
44120.0,43060.0,44990.0,44290.0,1400-4-12,خلنت,181626,2021-07-03,45320.0,45365.1902738757,11.16421993209066
42080.0,42080.0,45300.0,44040.0,1400-4-13,خلنت,131321,2021-07-04,44890.0,44923.4601822759,10.915502613660777
43040.0,42500.0,44940.0,43580.0,1400-4-14,خلنت,167028,2021-07-05,44538.0,44475.640121309174,10.454011723500685
43720.0,42000.0,43730.0,42920.0,1400-4-15,خلنت,311356,2021-07-06,44030.0,43957.09341404548,9.812963965270043
42930.0,42930.0,43980.0,43490.0,1400-4-16,خلنت,270810,2021-07-07,43664.0,43801.3956093315,14.679038400558767
43980.0,43100.0,45660.0,45370.0,1400-4-19,خلنت,345351,2021-07-10,43880.0,44324.26373962633,28.400816196323035
47400.0,46000.0,47630.0,47060.0,1400-4-20,خلنت,272555,2021-07-11,44484.0,45236.17582650126,38.04651931027183
49410.0,49410.0,49410.0,48040.0,1400-4-21,خلنت,144519,2021-07-12,45376.0,46170.78388439137,42.85418544742791
50440.0,50440.0,50440.0,48790.0,1400-4-22,خلنت,107602,2021-07-13,46550.0,47043.8559229632,46.28935983943713
51220.0,51220.0,51220.0,49700.0,1400-4-23,خلنت,129863,2021-07-14,47792.0,47929.23728199954,50.20092400672768
52180.0,47380.0,52180.0,50600.0,1400-4-26,خلنت,1006030,2021-07-17,48838.0,48819.49152134917,53.785625603201005
52360.0,49750.0,52360.0,50320.0,1400-5-4,خلنت,15845,2021-07-26,49490.0,49319.66101423883,52.518999670683115
47810.0,47810.0,49690.0,47840.0,1400-5-5,خلنت,377480,2021-07-27,49450.0,48826.44067615524,42.885737736511345
45590.0,45590.0,50230.0,49760.0,1400-5-6,خلنت,337707,2021-07-28,49644.0,49137.6271174385,50.461616042837335
50630.0,49020.0,52240.0,51260.0,1400-5-9,خلنت,197575,2021-07-31,49956.0,49845.08474496154,55.43505206506968
53820.0,52250.0,53820.0,53010.0,1400-5-10,خلنت,208336,2021-08-01,50438.0,50900.05649664355,60.426745872226334
53850.0,53850.0,55660.0,55480.0,1400-5-11,خلنت,311967,2021-08-02,51470.0,52426.704331098124,66.18405615430594
58240.0,57240.0,58250.0,58190.0,1400-5-12,خلنت,298606,2021-08-03,53540.0,54347.80288740079,71.14433391639245
61090.0,58510.0,61090.0,61010.0,1400-5-13,خلنت,386194,2021-08-04,55790.0,56568.53525826876,75.21799926760178
64050.0,64050.0,64060.0,64060.0,1400-5-16,خلنت,357851,2021-08-07,58350.0,59065.69017218035,78.71754299545212
67260.0,66500.0,67260.0,67250.0,1400-5-17,خلنت,298747,2021-08-08,61198.0,61793.79344812109,81.6381146014015
70610.0,63890.0,70610.0,66650.0,1400-5-18,خلنت,2640842,2021-08-09,63432.0,63412.5289654144,79.4302260716147
63330.0,63320.0,65290.0,63900.0,1400-5-19,خلنت,535265,2021-08-10,64574.0,63575.019310276286,70.07577679478084
60710.0,60710.0,60710.0,62070.0,1400-5-20,خلنت,141420,2021-08-11,64786.0,63073.346206850816,64.62178529083485
58970.0,58970.0,65170.0,63090.0,1400-5-23,خلنت,2321638,2021-08-14,64592.0,63078.897471233875,66.20080190063712
66240.0,66240.0,66240.0,65570.0,1400-5-24,خلنت,190004,2021-08-15,64256.0,63909.26498082262,69.73745472743143
71290.0,64510.0,71290.0,67240.0,1400-6-1,خلنت,2182294,2021-08-23,64374.0,65019.50998721511,71.8718583404675
67230.0,64200.0,68480.0,66030.0,1400-6-2,خلنت,899055,2021-08-24,64800.0,65356.33999147674,68.12284116269893
67970.0,63300.0,67970.0,65670.0,1400-6-3,خلنت,671279,2021-08-25,65520.0,65460.89332765117,67.00300458759298
66790.0,65600.0,68950.0,68010.0,1400-6-6,خلنت,774825,2021-08-28,66504.0,66310.59555176744,70.40812461378533
71400.0,65110.0,71410.0,69810.0,1400-6-7,خلنت,949614,2021-08-29,67352.0,67477.06370117831,72.73861480213417
66350.0,66350.0,73300.0,71710.0,1400-6-8,خلنت,1212716,2021-08-30,68246.0,68888.04246745222,74.97863326036313
73300.0,72820.0,75290.0,74550.0,1400-6-9,خلنت,633323,2021-08-31,69950.0,70775.36164496816,77.90154089811043
78270.0,76200.0,78270.0,78130.0,1400-6-10,خلنت,738707,2021-09-01,72442.0,73226.9077633121,80.92628550621758
82000.0,74230.0,82000.0,76700.0,1400-6-13,خلنت,1158744,2021-09-04,74180.0,74384.60517554141,76.42633783756011
75000.0,72870.0,80530.0,77940.0,1400-6-14,خلنت,1522423,2021-09-05,75806.0,75569.73678369427,77.59000797506081
81200.0,80530.0,81830.0,81740.0,1400-6-15,خلنت,603427,2021-09-06,77812.0,77626.49118912952,80.7293944995958
81830.0,77660.0,85400.0,82580.0,1400-6-16,خلنت,533181,2021-09-07,79418.0,79277.66079275301,81.35131056697537
81510.0,80010.0,86700.0,83860.0,1400-6-17,خلنت,1067563,2021-09-08,80564.0,80805.10719516868,82.28927859432225
86500.0,79670.0,86500.0,80670.0,1400-6-20,خلنت,839214,2021-09-11,81358.0,80760.07146344578,72.50213598331648
77820.0,76640.0,80700.0,77480.0,1400-6-21,خلنت,296351,2021-09-12,81266.0,79666.71430896386,64.27011578667594
73610.0,73610.0,81350.0,77940.0,1400-6-22,خلنت,1306333,2021-09-13,80506.0,79091.14287264257,64.88919783314492
81830.0,81350.0,81830.0,81820.0,1400-6-23,خلنت,218229,2021-09-14,80354.0,80000.76191509505,69.66379207871266
85910.0,82700.0,85910.0,85910.0,1400-6-24,خلنت,390667,2021-09-15,80764.0,81970.5079433967,73.72062414747873
89800.0,85920.0,90200.0,89410.0,1400-6-27,خلنت,973050,2021-09-18,82512.0,84450.33862893113,76.603973482578
93880.0,93780.0,93880.0,93880.0,1400-6-28,خلنت,285637,2021-09-19,85792.0,87593.5590859541,79.67164353369303
98570.0,98570.0,98570.0,97760.0,1400-6-29,خلنت,144447,2021-09-20,89756.0,90982.3727239694,81.8911949988673
102640.0,92880.0,102640.0,95860.0,1400-6-30,خلنت,1903852,2021-09-21,92564.0,92608.24848264626,77.43264535098432
96330.0,94710.0,99090.0,98090.0,1400-7-3,خلنت,492928,2021-09-25,95000.0,94435.49898843083,78.88565956726077
102640.0,100000.0,102990.0,102500.0,1400-7-4,خلنت,1020556,2021-09-26,97618.0,97123.66599228722,81.4317745877189
107000.0,104600.0,107620.0,107300.0,1400-7-6,خلنت,349121,2021-09-28,100302.0,100515.77732819149,83.73131144959568
112200.0,101940.0,112200.0,102890.0,1400-7-7,خلنت,826825,2021-09-29,101328.0,101307.184885461,74.59142283805915
100100.0,97750.0,106000.0,99470.0,1400-7-10,خلنت,1266098,2021-10-02,102050.0,100694.78992364067,68.35947344038084
100000.0,96000.0,104440.0,103440.0,1400-7-11,خلنت,742467,2021-10-03,103120.0,101609.85994909378,71.35162821870183
107000.0,105000.0,108610.0,107660.0,1400-7-12,خلنت,1002002,2021-10-04,104152.0,103626.57329939585,74.15001229594114
108370.0,102280.0,109900.0,104360.0,1400-7-14,خلنت,754470,2021-10-06,103564.0,103871.0488662639,68.5139887205262
99650.0,99160.0,107990.0,101920.0,1400-7-17,خلنت,508032,2021-10-09,103370.0,103220.69924417592,64.60394866112688
104000.0,96830.0,107010.0,104980.0,1400-7-18,خلنت,1053909,2021-10-10,104472.0,103807.13282945061,67.13689956875928
106600.0,106600.0,110220.0,109470.0,1400-7-19,خلنت,722526,2021-10-11,105678.0,105694.75521963373,70.47549765556417
110250.0,105600.0,114940.0,111840.0,1400-7-27,خلنت,870269,2021-10-19,106514.0,107743.1701464225,72.08741354285674
106270.0,106250.0,109880.0,107000.0,1400-7-28,خلنت,316782,2021-10-20,107042.0,107495.44676428167,64.35962875151887
101650.0,101650.0,101650.0,104540.0,1400-8-1,خلنت,64425,2021-10-23,107566.0,106510.29784285444,60.792490513158356
99320.0,99320.0,99320.0,102630.0,1400-8-3,خلنت,51166,2021-10-25,107096.0,105216.86522856964,58.09993302253652
97500.0,97500.0,97500.0,101150.0,1400-8-4,خلنت,40356,2021-10-26,105432.0,103861.2434857131,56.029115425486886
96100.0,96100.0,96100.0,97840.0,1400-8-5,خلنت,91839,2021-10-27,102632.0,101854.16232380872,51.59953149275461
92950.0,92950.0,101900.0,95720.0,1400-8-8,خلنت,888183,2021-10-30,100376.0,99809.4415492058,48.93127105471223
91070.0,90940.0,93450.0,91300.0,1400-8-9,خلنت,196118,2021-10-31,97728.0,96972.96103280387,43.84107253113668
86740.0,86740.0,94990.0,87720.0,1400-8-10,خلنت,863942,2021-11-01,94746.0,93888.64068853592,40.19391922189315
83350.0,83340.0,92000.0,87340.0,1400-8-11,خلنت,1697117,2021-11-02,91984.0,91705.76045902395,39.815295305233846
91000.0,89000.0,91700.0,91510.0,1400-8-12,خلنت,317306,2021-11-03,90718.0,91640.50697268262,45.84409241450101
96080.0,93300.0,96080.0,95910.0,1400-8-15,خلنت,707978,2021-11-06,90756.0,93063.67131512174,51.37853492422457
95910.0,91120.0,97290.0,93240.0,1400-8-16,خلنت,640737,2021-11-07,91144.0,93122.4475434145,48.162086418475496
89450.0,88580.0,92320.0,89170.0,1400-8-17,خلنت,644722,2021-11-08,91434.0,91804.96502894298,43.67377061510441
84740.0,84720.0,87500.0,85030.0,1400-8-18,خلنت,493341,2021-11-09,90972.0,89546.64335262864,39.628256719568036
83340.0,81200.0,88300.0,85960.0,1400-8-19,خلنت,713908,2021-11-10,89862.0,88351.09556841908,40.95146862522247
81670.0,81670.0,81670.0,84590.0,1400-8-22,خلنت,55644,2021-11-13,87598.0,87097.39704561273,39.57539018507627
80370.0,80370.0,86670.0,81770.0,1400-8-23,خلنت,1008376,2021-11-14,85304.0,85321.59803040848,36.83185504859794
81760.0,77690.0,81760.0,78970.0,1400-8-24,خلنت,469139,2021-11-15,83264.0,83204.39868693899,34.29002380196424
75100.0,75030.0,76950.0,75140.0,1400-8-25,خلنت,544950,2021-11-16,81286.0,80516.26579129267,31.125787587319905
72000.0,72000.0,78890.0,77110.0,1400-8-26,خلنت,607568,2021-11-17,79516.0,79380.84386086177,34.47512900764231
80950.0,78960.0,80960.0,80800.0,1400-8-29,خلنت,656196,2021-11-20,78758.0,79853.89590724118,40.32860435481662
83800.0,76860.0,83950.0,78610.0,1400-8-30,خلنت,452130,2021-11-21,78126.0,79439.26393816079,38.15035006287068
77510.0,74680.0,80990.0,75020.0,1400-9-1,خلنت,719636,2021-11-22,77336.0,77966.17595877386,34.82930190920365
76000.0,71270.0,76000.0,71700.0,1400-9-2,خلنت,267449,2021-11-23,76648.0,75877.45063918257,32.05060489566948
68800.0,68120.0,75280.0,72350.0,1400-9-3,خلنت,1212830,2021-11-24,75696.0,74701.63375945504,33.1746853417132
74980.0,72360.0,75960.0,74990.0,1400-9-6,خلنت,386773,2021-11-27,74534.0,74797.7558396367,37.68376839327342
77800.0,72200.0,77800.0,74960.0,1400-9-7,خلنت,427636,2021-11-28,73804.0,74851.83722642447,37.652676648924164
76400.0,74000.0,77050.0,75410.0,1400-9-8,خلنت,303018,2021-11-29,73882.0,75037.89148428298,38.47271554482266
74880.0,71640.0,74880.0,72220.0,1400-9-9,خلنت,276127,2021-11-30,73986.0,74098.59432285532,34.96214605392498
71550.0,68610.0,71550.0,68720.0,1400-9-10,خلنت,263754,2021-12-01,73260.0,72305.72954857022,31.559499182073466
70980.0,65290.0,70980.0,66470.0,1400-9-13,خلنت,220030,2021-12-04,71556.0,70360.48636571348,29.56731347335368
64990.0,63180.0,68210.0,66230.0,1400-9-14,خلنت,232578,2021-12-05,69810.0,68983.65757714232,29.354456847560726
65000.0,63000.0,68000.0,65090.0,1400-9-15,خلنت,238917,2021-12-06,67746.0,67685.77171809488,28.31184704447176
66790.0,63110.0,66790.0,64460.0,1400-9-16,خلنت,123246,2021-12-07,66194.0,66610.51447872992,27.725773909695647
65100.0,61240.0,67680.0,66090.0,1400-9-17,خلنت,479753,2021-12-08,65668.0,66437.00965248661,31.667124308752435
67000.0,62790.0,67650.0,63640.0,1400-9-20,خلنت,284515,2021-12-11,65102.0,65504.67310165774,29.098528401868037
61340.0,60460.0,62790.0,61820.0,1400-9-21,خلنت,135632,2021-12-12,64220.0,64276.44873443849,27.325386627191918
58810.0,58730.0,61000.0,59070.0,1400-9-22,خلنت,251597,2021-12-13,63016.0,62540.96582295899,24.86033819051137
56500.0,56120.0,58380.0,56890.0,1400-9-23,خلنت,176065,2021-12-14,61502.0,60657.31054863933,23.082658725806738
54100.0,54050.0,59690.0,55330.0,1400-9-24,خلنت,288203,2021-12-15,59350.0,58881.54036575955,21.877098441064362
52630.0,52630.0,57990.0,56390.0,1400-9-27,خلنت,194013,2021-12-18,57900.0,58051.02691050636,24.752899389423604
53890.0,53580.0,58000.0,54240.0,1400-9-28,خلنت,242535,2021-12-19,56384.0,56780.684607004245,22.910702119584727
53100.0,51530.0,55900.0,53660.0,1400-9-29,خلنت,348398,2021-12-20,55302.0,55740.4564046695,22.425823893516707
55980.0,53690.0,56340.0,55590.0,1400-9-30,خلنت,210862,2021-12-21,55042.0,55690.30426977967,27.894435307331605
58360.0,58360.0,58360.0,57790.0,1400-10-1,خلنت,215642,2021-12-22,55534.0,56390.20284651979,33.6373658557567
60660.0,59000.0,60670.0,60270.0,1400-10-4,خلنت,403790,2021-12-25,56310.0,57683.46856434653,39.48820921090586
61800.0,58000.0,61800.0,58940.0,1400-10-5,خلنت,264824,2021-12-26,57250.0,58102.31237623101,37.57493282651807
60780.0,56000.0,60780.0,59410.0,1400-10-6,خلنت,323045,2021-12-27,58400.0,58538.20825082067,38.70515832255545
57000.0,56900.0,61300.0,59440.0,1400-10-7,خلنت,164577,2021-12-28,59170.0,58838.80550054711,38.78134831352034
58900.0,58100.0,60740.0,59640.0,1400-10-8,خلنت,172811,2021-12-29,59540.0,59105.870333698076,39.32284107623778
57360.0,56660.0,60200.0,57610.0,1400-10-11,خلنت,198321,2022-01-01,59008.0,58607.24688913205,35.85609078536618
55500.0,55500.0,59990.0,58100.0,1400-10-12,خلنت,178894,2022-01-02,58840.0,58438.1645927547,37.29315879667166
60480.0,58000.0,60480.0,58700.0,1400-10-13,خلنت,129571,2022-01-03,58698.0,58525.44306183647,39.0925764646579
60490.0,58740.0,61630.0,60620.0,1400-10-14,خلنت,386292,2022-01-04,58934.0,59223.62870789098,44.57367720870911
63650.0,61630.0,63650.0,62680.0,1400-10-15,خلنت,174747,2022-01-05,59542.0,60375.75247192732,49.794070717638725
65810.0,65810.0,65810.0,63760.0,1400-10-18,خلنت,82787,2022-01-08,60772.0,61503.83498128488,52.32909314835432
66940.0,66940.0,66940.0,65640.0,1400-10-19,خلنت,141190,2022-01-09,62280.0,62882.556654189924,56.451221857210896
68920.0,68920.0,68920.0,66410.0,1400-10-20,خلنت,56128,2022-01-10,63822.0,64058.37110279328,58.05116872031386
69730.0,69730.0,69730.0,67090.0,1400-10-21,خلنت,49128,2022-01-11,65116.0,65068.91406852886,59.4674086219849
70440.0,66150.0,70440.0,70000.0,1400-10-22,خلنت,2423262,2022-01-12,66580.0,66712.60937901924,64.92480843699548
66530.0,66500.0,71330.0,67380.0,1400-10-25,خلنت,422397,2022-01-15,67304.0,66935.07291934616,57.42766919259301
64020.0,64020.0,66000.0,64080.0,1400-10-26,خلنت,575116,2022-01-16,66992.0,65983.38194623077,49.65074289597045
64820.0,64180.0,67280.0,67130.0,1400-10-27,خلنت,1065983,2022-01-17,67136.0,66365.58796415385,55.631208241868194
68480.0,63780.0,68480.0,64280.0,1400-10-28,خلنت,440461,2022-01-18,66574.0,65670.39197610256,49.69163915701867
67490.0,63000.0,67490.0,64590.0,1400-10-29,خلنت,170166,2022-01-19,65492.0,65310.26131740171,50.31305208390577
64470.0,61370.0,67360.0,63310.0,1400-11-2,خلنت,189419,2022-01-22,64678.0,64643.50754493448,47.69347008563212
63000.0,60150.0,63000.0,60170.0,1400-11-3,خلنت,247655,2022-01-23,63896.0,63152.33836328966,41.926539613485055
